cluster,logAge,phot_bp_rp_excess_factor_t_median,phot_bp_rp_excess_factor_t_std,astrometric_excess_noise_sig_t_median,astrometric_excess_noise_sig_t_std
APer,1.8325089127062364,0.3610099362224076,0.07773746295624223,0.614634096622467,0.9671432448725422
Collinder135,1.414973347970818,0.2499825520275422,0.09840228907741548,0.7591245472431183,1.319486045366685
HPer,1.1760912590556813,0.28646310027474,0.10383949881323461,0.2961713075637817,0.5274124341847578
Hyades,2.88930170250631,0.36391097748674905,0.11920747805777036,2.201537251472473,0.9074874827134258
IC2391,1.568201724066995,0.3585458857959337,0.10850360907618851,1.036449670791626,1.2253853904099479
IC2602,1.568201724066995,0.3733359341698546,0.10138592721607674,0.8703410625457764,1.1654580078155716
M34,2.2068258760318495,0.22238533773186303,0.040285239285557044,0.4300043284893036,0.7288344123811348
M35,2.27415784926368,0.2354771519467486,0.05706949237382232,1.2536278201776777e-15,0.8923780819172858
M37,2.649334858712142,0.24541571181553784,0.0818130647170693,1.3327224333033042e-15,0.4278694405823231
M50,2.130333768495006,0.2992850858299757,0.10030020585429666,0.0606693811714649,0.5311323881360626
M67,3.5877109650189114,0.2875444704085694,0.07043789453432421,0.00996065419167275,0.4235653993525419
NGC1647,2.4899584794248346,0.2086494065629427,0.03297069897690864,1.5901609659194946,1.4568474884757598
NGC1750,2.507855871695831,0.1756590967585524,0.0285794586588797,2.165868759155273,1.2592393239266142
NGC1758,2.639486489268586,0.2083972188135372,0.023096268162397227,2.282886565264821e-15,1.0243126007774033
NGC1817,3.1048284036536553,0.1956172376029502,0.015867985818613754,0.0,0.5790657810946627
NGC2281,2.783903579272735,0.2679721830939058,0.07106695369998017,0.0863966010510921,0.6234141234086965
NGC2451A,1.6532125137753437,0.3489759216065109,0.08722674921834234,0.5360963344573975,1.2720595918890814
NGC2516,2.419955748489758,0.3394374076755211,0.07567027775345796,0.0727800652384758,0.607522169709399
NGC2547,1.505149978319906,0.357458473740654,0.09814743174575516,0.3399108648300171,1.048489057423267
NGC2548,2.6646419755561257,0.1980947900099679,0.024513606442169805,0.0,0.6482945316416282
NGC3532,2.5998830720736876,0.2198623983048875,0.04649303083048795,0.0,0.49973056036197905
NGC6811,3.0017337128090005,0.1919850462723294,0.03156470543651733,1.994812989244239e-15,0.9456780223123272
NGC6819,3.3636119798921444,0.1887202525289325,0.015056209427137533,0.0,0.29498821438102013
NGC6866,2.8662873390841948,0.184790747551401,0.020156193349740486,0.0,1.1444597470875706
NGC752,3.1099158630237933,0.23221766919500714,0.041366533511772795,0.3421642333269119,0.38572781127961386
Pleiades,1.9867717342662448,0.38380098038416866,0.1055953335671861,0.8259010016918182,1.0286170487008006
Praesepe,2.8561244442423,0.37594108553655314,0.09643940765793653,0.5352141261100769,0.9954094465571288
Ruprecht147,3.3898745583909853,0.1998403856080016,0.05771099907458202,1.043347179889679,0.9355085586444939
ScoCen,1.0064660422492318,0.4151293414504709,0.1039862806600193,1.6210530996322632,0.9255604308445493
Taurus,0.30319605742048883,0.4466099555151355,0.1410345748098455,2.298646569252014,0.9995207820424041
